titles,original price,discount price,urls
CARRIER Flexicool Convertible 4-in-1 Cooling 2 Ton 3 Star Split I...,"₹78,890","₹44,999",https://www.flipkart.com/carrier-flexicool-convertible-4-in-1-cooling-2-ton-3-star-split-inverter-dual-filtration-hd-pm2-5-filter-ac-white/p/itm9a9083d94decb?pid=ACNGA3G2HMUFASRZ&lid=LSTACNGA3G2HMUFASRZCHJR9F&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_7_YI9PU847LGFC_MC.ACNGA3G2HMUFASRZ&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Inverter%2BACs_5_7.productCard.PMU_V2_CARRIER%2BFlexicool%2BConvertible%2B4-in-1%2BCooling%2B2%2BTon%2B3%2BStar%2BSplit%2BInverter%2BDual%2BFiltration%2Bwith%2BHD%2Band%2BPM2.5%2BFilter%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGA3G2HMUFASRZ_neo%2Fmerchandising_4&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Inverter%2BACs_LIST_productCard_cc_5_NA_view-all&cid=ACNGA3G2HMUFASRZ
Daikin 1.5 Ton 5 Star Split Inverter AC  - White,"₹83,900","₹44,780",https://www.flipkart.com/daikin-1-5-ton-5-star-split-inverter-ac-white/p/itm53eb9813ae881?pid=ACNGCRFFFWF48BAP&lid=LSTACNGCRFFFWF48BAPOTZCNN&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_7_YI9PU847LGFC_MC.ACNGCRFFFWF48BAP&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Inverter%2BACs_6_7.productCard.PMU_V2_Daikin%2B1.5%2BTon%2B5%2BStar%2BSplit%2BInverter%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGCRFFFWF48BAP_neo%2Fmerchandising_5&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Inverter%2BACs_LIST_productCard_cc_6_NA_view-all&cid=ACNGCRFFFWF48BAP
O General 2 Ton 2 Star Window AC  - White,"₹54,740","₹50,900",https://www.flipkart.com/o-general-2-ton-star-window-ac-white/p/itm0828b36e09ec1?pid=ACNG2G5H6GZJRQY8&lid=LSTACNG2G5H6GZJRQY8OUFZRR&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_8_0VG1FO6HR0DX_MC.ACNG2G5H6GZJRQY8&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Window%2BACs_1_8.productCard.PMU_V2_O%2BGeneral%2B2%2BTon%2B2%2BStar%2BWindow%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNG2G5H6GZJRQY8_neo%2Fmerchandising_0&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Window%2BACs_LIST_productCard_cc_1_NA_view-all&cid=ACNG2G5H6GZJRQY8
O General 1.7 Ton 3 Star Window AC  - White,"₹54,740","₹50,598",https://www.flipkart.com/o-general-1-7-ton-3-star-window-ac-white/p/itm805318b2c0c26?pid=ACNG8VYH3HD2X4WP&lid=LSTACNG8VYH3HD2X4WPLUI7KN&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_8_0VG1FO6HR0DX_MC.ACNG8VYH3HD2X4WP&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Window%2BACs_2_8.productCard.PMU_V2_O%2BGeneral%2B1.7%2BTon%2B3%2BStar%2BWindow%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNG8VYH3HD2X4WP_neo%2Fmerchandising_1&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Window%2BACs_LIST_productCard_cc_2_NA_view-all&cid=ACNG8VYH3HD2X4WP
LG 2023 Model 2 Ton 4 Star Window Dual Inverter AC with Wi-fi Con...,"₹75,990","₹46,990",https://www.flipkart.com/lg-2023-model-2-ton-4-star-window-dual-inverter-ac-wi-fi-connect-white/p/itm56a1037c023dd?pid=ACNGH7H4EHVE6D57&lid=LSTACNGH7H4EHVE6D579KT7HQ&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_8_0VG1FO6HR0DX_MC.ACNGH7H4EHVE6D57&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Window%2BACs_3_8.productCard.PMU_V2_LG%2B2023%2BModel%2B2%2BTon%2B4%2BStar%2BWindow%2BDual%2BInverter%2BAC%2Bwith%2BWi-fi%2BConnect%2B%2B-%2BWhite_acnewclp-store_ACNGH7H4EHVE6D57_neo%2Fmerchandising_2&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Window%2BACs_LIST_productCard_cc_3_NA_view-all&cid=ACNGH7H4EHVE6D57
O General 1.5 Ton 4 Star Window AC  - White,"₹49,470","₹45,999",https://www.flipkart.com/o-general-1-5-ton-4-star-window-ac-white/p/itm8ab86234c79d0?pid=ACNG8VYHCRA4XHYH&lid=LSTACNG8VYHCRA4XHYHDT0YVQ&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_8_0VG1FO6HR0DX_MC.ACNG8VYHCRA4XHYH&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Window%2BACs_4_8.productCard.PMU_V2_O%2BGeneral%2B1.5%2BTon%2B4%2BStar%2BWindow%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNG8VYHCRA4XHYH_neo%2Fmerchandising_3&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Window%2BACs_LIST_productCard_cc_4_NA_view-all&cid=ACNG8VYHCRA4XHYH
Hitachi 1.5 Ton 5 Star Window Inverter AC  - White,"₹45,690","₹45,689",https://www.flipkart.com/hitachi-1-5-ton-5-star-window-inverter-ac-white/p/itm2278c83218234?pid=ACNGDJFGARNPMXZU&lid=LSTACNGDJFGARNPMXZUAZULDS&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_8_0VG1FO6HR0DX_MC.ACNGDJFGARNPMXZU&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Window%2BACs_5_8.productCard.PMU_V2_Hitachi%2B1.5%2BTon%2B5%2BStar%2BWindow%2BInverter%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGDJFGARNPMXZU_neo%2Fmerchandising_4&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Window%2BACs_LIST_productCard_cc_5_NA_view-all&cid=ACNGDJFGARNPMXZU
CARRIER 1.5 Ton Window AC  - White,"₹75,999","₹42,990",https://www.flipkart.com/carrier-1-5-ton-window-ac-white/p/itm6f7d50d282254?pid=ACNGM2H5VZCTQKAW&lid=LSTACNGM2H5VZCTQKAWH3GOVO&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_8_0VG1FO6HR0DX_MC.ACNGM2H5VZCTQKAW&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Window%2BACs_6_8.productCard.PMU_V2_CARRIER%2B1.5%2BTon%2BWindow%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGM2H5VZCTQKAW_neo%2Fmerchandising_5&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Window%2BACs_LIST_productCard_cc_6_NA_view-all&cid=ACNGM2H5VZCTQKAW
CARRIER 2 Ton 3 Star Split AC  - White,"₹65,900","₹56,500",https://www.flipkart.com/carrier-2-ton-3-star-split-ac-white/p/itm04d47cde7bee4?pid=ACNGEYE8ZKVFMKHK&lid=LSTACNGEYE8ZKVFMKHKV6ACAI&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_9_OVQR8V6RRH7T_MC.ACNGEYE8ZKVFMKHK&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Fixed%2BSpeed%2BACs_1_9.productCard.PMU_V2_CARRIER%2B2%2BTon%2B3%2BStar%2BSplit%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGEYE8ZKVFMKHK_neo%2Fmerchandising_0&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Fixed%2BSpeed%2BACs_LIST_productCard_cc_1_NA_view-all&cid=ACNGEYE8ZKVFMKHK
Mitsubishi 1.6 Ton Split AC  - White,"₹58,940","₹55,700",https://www.flipkart.com/mitsubishi-1-6-ton-split-ac-white/p/itm73d4d3ec03e22?pid=ACNGHWAYUXGHPN8S&lid=LSTACNGHWAYUXGHPN8SG1G8PE&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_412a9c93-3635-4972-9939-6b65f71d98ce_9_OVQR8V6RRH7T_MC.ACNGHWAYUXGHPN8S&ppt=None&ppn=None&ssid=yydx7fxiww0000001692178822038&otracker=clp_pmu_v2_Fixed%2BSpeed%2BACs_2_9.productCard.PMU_V2_Mitsubishi%2B1.6%2BTon%2BSplit%2BAC%2B%2B-%2BWhite_acnewclp-store_ACNGHWAYUXGHPN8S_neo%2Fmerchandising_1&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Fixed%2BSpeed%2BACs_LIST_productCard_cc_2_NA_view-all&cid=ACNGHWAYUXGHPN8S
